No.,Time,Source,Destination,Protocol,Length,Info
1169,8.373783,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=776601 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1170,8.373783,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=778013 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1171,8.373802,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=779425 Win=1603840 Len=0
1172,8.375448,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=779425 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1173,8.375448,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=780837 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1174,8.375482,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=782249 Win=1603840 Len=0
1175,8.376188,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=782249 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1176,8.376188,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=783661 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1177,8.376216,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=785073 Win=1603840 Len=0
1178,8.376926,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=785073 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1179,8.377411,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=786485 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1180,8.377436,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=787897 Win=1603840 Len=0
1181,8.37781,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=787897 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1182,8.378265,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=789309 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1183,8.378265,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=790721 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1184,8.378282,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=792133 Win=1603840 Len=0
1185,8.378719,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=792133 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1186,8.378742,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=793545 Win=1603840 Len=0
1187,8.379217,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=793545 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1188,8.379747,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=794957 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1189,8.37978,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=796369 Win=1603840 Len=0
1190,8.380178,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=796369 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1191,8.380711,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=797781 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1192,8.380711,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=799193 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1193,8.38073,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=800605 Win=1603840 Len=0
1194,8.381172,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=800605 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1195,8.381195,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=802017 Win=1603840 Len=0
1196,8.38165,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=802017 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1197,8.382164,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=803429 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1198,8.382182,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=804841 Win=1603840 Len=0
1199,8.382622,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=804841 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1200,8.3831,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=806253 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1201,8.3831,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=807665 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1202,8.383116,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=809077 Win=1603840 Len=0
1203,8.384076,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=809077 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1204,8.384101,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=810489 Win=1603840 Len=0
1205,8.384535,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=810489 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1206,8.384535,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=811901 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1207,8.384593,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=813313 Win=1603840 Len=0
1208,8.385922,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=813313 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1209,8.385922,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=814725 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1210,8.385922,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=816137 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1211,8.385922,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=817549 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1212,8.385962,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=818961 Win=1603840 Len=0
1213,8.386922,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=818961 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
