packet_length,inter_arrival_time,ttl,is_tcp,is_udp,is_icmp,src_port,dst_port,syn_flag,ack_flag,fin_flag,rst_flag,is_well_known_port
60,0.081658,0,0,0,0,0,0,0,0,0,0,0
718,0.001095,0,0,1,0,61387,3702,0,0,0,0,0
173,0.450131,128,1,0,0,54447,443,0,1,0,0,0
1494,0.000101,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
649,0.0,128,1,0,0,54447,443,0,1,0,0,0
54,0.216985,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
42,0.151111,0,0,0,0,0,0,0,0,0,0,0
42,2.7e-05,0,0,0,0,0,0,0,0,0,0,0
153,0.029947,100,1,0,0,443,54447,0,1,0,0,0
89,0.000616,128,1,0,0,54447,443,0,1,0,0,0
54,0.261834,100,1,0,0,443,54447,0,1,0,0,0
84,0.629392,1,0,1,0,5353,5353,0,0,0,0,0
84,0.000303,1,0,1,0,5353,5353,0,0,0,0,0
359,0.000433,1,0,1,0,5353,5353,0,0,0,0,0
359,0.000577,1,0,1,0,5353,5353,0,0,0,0,0
167,1.106633,128,1,0,0,54447,443,0,1,0,0,0
1494,0.000106,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
186,0.0,128,1,0,0,54447,443,0,1,0,0,0
514,0.0786,128,0,1,0,60883,443,0,0,0,0,0
70,0.053652,60,0,1,0,443,60883,0,0,0,0,0
74,0.036279,128,0,1,0,60883,443,0,0,0,0,0
64,0.022628,60,0,1,0,443,60883,0,0,0,0,0
75,0.000228,128,0,1,0,60883,443,0,0,0,0,0
54,0.026401,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
153,0.031461,100,1,0,0,443,54447,0,1,0,0,0
54,0.04256,128,1,0,0,54447,443,0,1,0,0,0
112,0.12444,128,1,0,0,63028,443,0,1,0,0,0
54,0.094006,128,1,0,0,58526,443,0,1,1,0,0
54,0.009469,114,1,0,0,443,58526,0,1,1,0,0
54,0.000123,128,1,0,0,58526,443,0,1,0,0,0
1109,0.005777,60,0,1,0,443,60883,0,0,0,0,0
95,0.0,60,0,1,0,443,60883,0,0,0,0,0
79,0.007929,128,0,1,0,60883,443,0,0,0,0,0
75,0.00021,128,0,1,0,60883,443,0,0,0,0,0
101,0.000308,106,1,0,0,443,63028,0,1,0,0,0
651,0.025242,128,0,1,0,65182,443,0,0,0,0,0
66,0.027668,60,0,1,0,443,60883,0,0,0,0,0
54,0.000752,128,1,0,0,63028,443,0,1,0,0,0
73,0.001421,60,0,1,0,443,65182,0,0,0,0,0
75,0.000208,128,0,1,0,65182,443,0,0,0,0,0
552,0.326753,60,0,1,0,443,65182,0,0,0,0,0
63,0.0,60,0,1,0,443,65182,0,0,0,0,0
79,0.000263,128,0,1,0,65182,443,0,0,0,0,0
75,6.1e-05,128,0,1,0,65182,443,0,0,0,0,0
66,0.056003,60,0,1,0,443,65182,0,0,0,0,0
55,0.3755,128,1,0,0,62659,443,0,1,0,0,0
66,0.041561,123,1,0,0,443,62659,0,1,0,0,0
55,0.767331,128,1,0,0,62661,443,0,1,0,0,0
55,0.122411,128,1,0,0,62660,443,0,1,0,0,0
167,0.034455,128,1,0,0,54447,443,0,1,0,0,0
1494,0.000113,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
186,0.0,128,1,0,0,54447,443,0,1,0,0,0
66,0.074858,246,1,0,0,443,62661,0,1,0,0,0
66,0.124214,246,1,0,0,443,62660,0,1,0,0,0
54,0.017985,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
148,0.001181,100,1,0,0,443,54447,0,1,0,0,0
54,0.043549,128,1,0,0,54447,443,0,1,0,0,0
172,1.834953,128,1,0,0,54447,443,0,1,0,0,0
